SOC,OCV_V
0.0,5.392388416873278
0.010101010101010102,5.549202433997926
0.020202020202020204,5.691904018400858
0.030303030303030304,5.821488211539759
0.04040404040404041,5.9389124824792425
0.05050505050505051,6.0450967278908445
0.06060606060606061,6.14092327205302
0.07070707070707072,6.227236866851155
0.08080808080808081,6.304844691777555
0.09090909090909091,6.374516353931455
0.10101010101010102,6.436983888019004
0.11111111111111112,6.492941756353281
0.12121212121212122,6.543046848854291
0.13131313131313133,6.587918483048956
0.14141414141414144,6.628138404071128
0.15151515151515152,6.664250784661583
0.16161616161616163,6.696762225168009
0.17171717171717174,6.726141753545042
0.18181818181818182,6.752820825354212
0.19191919191919193,6.7771933237639965
0.20202020202020204,6.799615559549786
0.21212121212121213,6.820406271093898
0.22222222222222224,6.839846624385572
0.23232323232323235,6.858180213020969
0.24242424242424243,6.875613058203182
0.25252525252525254,6.892313608742221
0.26262626262626265,6.90841316632453
0.27272727272727276,6.924016175257535
0.2828282828282829,6.9392177932301236
0.29292929292929293,6.954107012250708
0.30303030303030304,6.968766663362894
0.31313131313131315,6.983273416645463
0.32323232323232326,6.997697781212362
0.33333333333333337,7.012104105212733
0.3434343434343435,7.026550575830886
0.3535353535353536,7.041089219286318
0.36363636363636365,7.055765900833693
0.37373737373737376,7.070620324762864
0.38383838383838387,7.085686034398856
0.393939393939394,7.100990412101875
0.4040404040404041,7.1165546792673045
0.4141414141414142,7.132393896325706
0.42424242424242425,7.148516962742827
0.43434343434343436,7.16492661701958
0.4444444444444445,7.181619436692063
0.4545454545454546,7.198585838331559
0.4646464646464647,7.215810077544517
0.4747474747474748,7.23327024897257
0.48484848484848486,7.25093828629253
0.494949494949495,7.268779962216389
0.5050505050505051,7.286754888491316
0.5151515151515152,7.304816959332547
0.5252525252525253,7.322919158851903
0.5353535353535354,7.34101831632672
0.5454545454545455,7.359075532245355
0.5555555555555556,7.377056178307168
0.5656565656565657,7.394929897422548
0.5757575757575758,7.412670603712887
0.5858585858585859,7.4302564825106
0.595959595959596,7.447669990359112
0.6060606060606061,7.464897855012861
0.6161616161616162,7.481931075437307
0.6262626262626263,7.498764921808919
0.6363636363636365,7.515398935515185
0.6464646464646465,7.531836929154601
0.6565656565656566,7.548086986536684
0.6666666666666667,7.564161462681964
0.6767676767676768,7.5800769838219875
0.686868686868687,7.59585444739931
0.696969696969697,7.611519022067509
0.7070707070707072,7.6271001476911735
0.7171717171717172,7.642631535345905
0.7272727272727273,7.658151167318324
0.7373737373737375,7.673701297106064
0.7474747474747475,7.689328449417773
0.7575757575757577,7.705083420173113
0.7676767676767677,7.721021276502762
0.7777777777777778,7.737201356748415
0.787878787878788,7.753687270462775
0.797979797979798,7.770546898409569
0.8080808080808082,7.787852392563529
0.8181818181818182,7.805680176110412
0.8282828282828284,7.824110943446983
0.8383838383838385,7.843229660181021
0.8484848484848485,7.863125563131322
0.8585858585858587,7.883892160327701
0.8686868686868687,7.90562723101098
0.8787878787878789,7.928432825633003
0.888888888888889,7.9524152658566205
0.8989898989898991,7.977685144555706
0.9090909090909092,8.004357325815143
0.9191919191919192,8.032550944930833
0.9292929292929294,8.06238940840969
0.9393939393939394,8.094000393969642
0.9494949494949496,8.127515850539634
0.9595959595959597,8.163071998259625
0.9696969696969697,8.200809328480586
0.9797979797979799,8.240872603764512
0.98989898989899,8.283410857884402
1.0,8.328577395824272
